X,Y
lifespace_score,sex_cg
lifespace_score,sex_plwd
lifespace_score,educ_plwd
lifespace_score,educ_cg
lifespace_score,community_type
sex_plwd,sex_cg
educ_plwd,sex_cg
educ_cg,sex_cg
community_type,sex_cg
non_routine_days,sex_cg
challenging_days,sex_cg
total_burden,sex_cg
sex_cg,sex_plwd
educ_plwd,sex_plwd
educ_cg,sex_plwd
community_type,sex_plwd
non_routine_days,sex_plwd
challenging_days,sex_plwd
total_burden,sex_plwd
educ_cg,educ_plwd
non_routine_days,educ_plwd
challenging_days,educ_plwd
total_burden,educ_plwd
sex_cg,educ_plwd
educ_plwd,educ_cg
non_routine_days,educ_cg
challenging_days,educ_cg
total_burden,educ_cg
sex_plwd,educ_cg
non_routine_days,community_type
challenging_days,community_type
total_burden,community_type
