,model,log_likelihood
0,claude-2,-95.95128197211078
1,gpt-2,-95.95128197211078
2,gemini-2,-95.86641990279553
3,gemini-1,-95.86622708844425
4,gpt-1,-89.20121415385283
5,expert-2,-96.03182358860107
6,claude-1,-89.20121415385283
7,expert-1,-89.20121415385283
8,claude-2,-86.39627975609153
9,gpt-2,-86.39627975609153
10,gemini-2,-74.97097033062423
11,gemini-1,-74.97079821727989
12,gpt-1,-79.77342607515975
13,expert-2,-84.47998319349216
14,claude-1,-79.77342607515975
15,expert-1,-74.97079821727989
16,claude-2,-93.17687003629696
17,gpt-2,-95.95128197211078
18,gemini-2,-93.27013778707233
19,gemini-1,-86.42680322734415
20,gpt-1,-89.20121415385283
21,expert-2,-96.03182358860107
22,claude-1,-86.42680322734415
23,expert-1,-89.20121415385283
24,claude-2,-84.47998319349216
25,gpt-2,-86.39627975609153
26,gemini-2,-81.81410374410792
27,gemini-1,-74.97079821727989
28,gpt-1,-79.77342607515975
29,expert-2,-84.47998319349216
30,claude-1,-74.97079821727989
31,expert-1,-74.97079821727989
